Trial,no policy obj,solver obj,lagr heuristic obj,simple index blocksize 1 obj,simple index blocksize 7 obj,quadratic heuristic obj,lagr LB,solver LB,solver vs lagr lb gap,lagr vs lagr lb gap
1,1003570,1003408,1003570,1037173,1015196,1110367,961654,444081,0.043419,0.043588058026893056
2,1003570,999901,1003570,1105527,1015169,1102909,945001,351140,0.058095,0.061977958342167724
3,1003570,991941,1014902,1107608,1015141,1090845,983990,279286,0.008079,0.03141469492985786
4,1003570,980161,983218,1101752,1018725,1072228,968056,224625,0.012504,0.01566211105416937
5,1003570,965127,973238,1098135,1016878,1045926,911848,268957,0.058429,0.06732425370621165
6,1003570,946181,950248,1055382,1015010,1011130,924127,216591,0.023865,0.028266561260730207
7,1003570,922615,933689,1066852,1013141,968276,904137,223650,0.020438,0.032686223784228356
8,1003570,890871,897466,1022575,1011291,915973,881851,183291,0.010230,0.017707785624175562
9,1003570,843094,852618,1030038,1009478,850878,801300,197698,0.052158,0.06404381969691067
10,1003570,761036,766913,1070425,1007723,767153,735296,173682,0.035007,0.04299865635421365
11,1003570,649849,654125,1087891,1006042,654365,633927,138789,0.025116,0.0318613031362382
12,1003570,901317,930244,1010834,1001350,922533,890789,188454,0.011819,0.04429260200477571
13,1003570,911541,948232,1050540,1004082,940252,907164,194336,0.004825,0.04527074081198735
14,1003570,921155,946571,1023643,1006814,957971,915804,200036,0.005843,0.03359588909660677
15,1003570,930129,954897,1069797,1009546,975691,921255,205640,0.009633,0.03651689406869803
16,1003570,938381,956741,1052218,1012278,993410,926190,211217,0.013162,0.03298585982211742
17,1003570,953493,955877,1108700,1017743,1028850,942268,221925,0.011913,0.01444302397821496
18,1003570,960221,962801,1122946,1020475,1046571,951237,225047,0.009445,0.012156820035247647
19,1003570,966376,1021851,1114037,1018587,1064291,945983,230199,0.021558,0.08020049490671531
20,1003570,972198,979469,1102247,1019763,1082012,926299,235175,0.049551,0.057400603650389716
21,1003570,977641,982747,1141747,1020939,1099733,948020,239960,0.031245,0.036630704083216586
22,1003571,1003408,1003571,1061186,1027196,1127720,961662,444083,0.043410,0.04357906194092327
23,1003571,999904,1003571,1228629,1027169,1155374,945021,351143,0.058076,0.0619558356887913
24,1003571,991956,1003571,1230709,1027142,1145630,964979,279288,0.027956,0.03999280333940598
25,1003571,980221,1003571,1224854,1030726,1133770,960364,224626,0.020677,0.04499037614984303
26,1003571,965398,968947,1221237,1028880,1118546,947193,268971,0.019220,0.022966208459332556
27,1003571,947444,953342,1075636,1027013,1100887,934880,216595,0.013439,0.019747674178284297
28,1003571,927554,939339,1034417,1025144,1083693,888625,223583,0.043808,0.05707054252739378
29,1003571,908069,912756,1036022,1023294,1058986,899800,183142,0.009189,0.014398862240142953
30,1003571,891356,905198,1042040,1021482,1025793,872404,197119,0.021723,0.037589666268258694
