Trial,solver timeToSolve,lagr timeToSolve,lagr timeToSolve L1 total,lagr timeToSolve L2 total
1,8.39863395690918,5,0,1
2,8.973994255065918,6,0,2
3,9.733989238739014,19,3,9
4,8.982089042663574,47,7,29
5,13.732314825057983,70,5,54
6,13.60966682434082,216,12,187
7,17.467292070388794,694,10,670
8,23.76540279388428,1356,11,1330
9,28.22702693939209,946,7,928
10,28.89061689376831,1031,7,1014
11,28.89594602584839,1032,7,1015
12,15.408351182937622,120,7,102
13,15.410254716873167,127,7,110
14,14.860375165939333,122,7,104
15,14.098878860473633,128,7,110
16,13.730874061584473,118,7,101
17,13.480145931243896,210,12,181
18,16.466777086257935,221,13,191
19,13.799418210983276,195,10,171
20,14.160881996154783,104,7,86
21,12.900917053222656,143,7,125
22,26.435937881469727,13,1,2
23,26.251832962036133,15,1,4
24,39.7447817325592,51,10,21
25,34.770565032958984,69,10,38
26,42.21647715568543,163,21,111
27,49.62562203407288,232,20,182
28,65.32383108139038,480,20,430
29,55.98686385154724,1143,26,1076
30,103.36429691314696,1084,22,1031
31,114.22383093833923,1099,20,1048
32,125.47177386283876,1651,30,1580
33,45.24859118461609,223,20,172
34,44.99900698661804,208,20,157
35,49.05845499038696,196,15,151
36,45.37333559989929,241,20,191
37,43.44873070716858,216,21,164
38,51.251599073410034,246,20,196
39,44.02113699913025,248,20,198
40,47.39501905441284,250,20,199
41,46.23812198638916,142,9,112
42,50.30050182342529,191,9,161
43,53.59658527374268,26,1,3
44,59.828190088272095,33,1,11
45,62.691757917404175,87,20,25
46,60.00277090072632,114,20,51
47,94.45767402648926,149,21,86
48,110.5081181526184,353,42,247
49,136.1246120929718,785,43,679
50,116.87167501449584,1148,43,1041
51,197.01462483406067,2242,87,2047
52,191.78571486473083,1397,57,1255
53,225.99943709373477,1897,80,1710
54,84.76223015785217,282,32,182
55,91.6992211341858,360,43,253
56,99.98214221000671,467,43,359
57,88.15739107131958,314,45,206
58,85.64344310760498,351,42,245
59,121.26769375801086,350,43,244
60,101.09312891960144,366,45,258
61,88.39463996887207,354,43,246
62,119.87694382667542,535,63,387
63,98.19102787971497,602,68,449
