Trial,no policy cost,no policy deaths,solver cost,solver deaths,solver disease cost,solver policy cost,lagr cost,lagr deaths,lagr disease cost,lagr policy cost
1,1.00e12,9.94e04,1.00e12,9.93e04,1.00e12,9.00e08,1.00e12,9.94e04,1.00e12,0.00e00
2,1.00e12,9.94e04,1.00e12,9.64e04,9.73e11,2.66e10,1.00e12,9.94e04,1.00e12,0.00e00
3,1.00e12,9.94e04,9.92e11,9.46e04,9.55e11,3.71e10,1.01e12,9.91e04,1.00e12,1.47e10
4,1.00e12,9.94e04,9.80e11,9.23e04,9.32e11,4.80e10,9.83e11,9.35e04,9.44e11,3.90e10
5,1.00e12,9.94e04,9.65e11,8.96e04,9.04e11,6.10e10,9.73e11,9.27e04,9.36e11,3.70e10
6,1.00e12,9.94e04,9.46e11,8.61e04,8.69e11,7.72e10,9.50e11,8.85e04,8.94e11,5.64e10
7,1.00e12,9.94e04,9.23e11,8.21e04,8.28e11,9.42e10,9.34e11,8.54e04,8.62e11,7.20e10
8,1.00e12,9.94e04,8.91e11,7.65e04,7.72e11,1.19e11,8.97e11,7.96e04,8.04e11,9.34e10
9,1.00e12,9.94e04,8.43e11,6.74e04,6.80e11,1.63e11,8.53e11,6.67e04,6.73e11,1.80e11
10,1.00e12,9.94e04,7.61e11,5.85e04,5.90e11,1.71e11,7.67e11,5.82e04,5.87e11,1.80e11
11,1.00e12,9.94e04,6.50e11,4.72e04,4.76e11,1.73e11,6.54e11,4.70e04,4.75e11,1.80e11
12,1.00e12,9.94e04,9.01e11,8.40e04,8.48e11,5.35e10,9.30e11,8.40e04,8.48e11,8.20e10
13,1.00e12,9.94e04,9.12e11,8.45e04,8.53e11,5.85e10,9.48e11,8.42e04,8.50e11,9.82e10
14,1.00e12,9.94e04,9.21e11,8.47e04,8.55e11,6.58e10,9.47e11,9.00e04,9.08e11,3.83e10
15,1.00e12,9.94e04,9.30e11,8.53e04,8.61e11,6.92e10,9.55e11,9.05e04,9.13e11,4.17e10
16,1.00e12,9.94e04,9.38e11,8.59e04,8.67e11,7.09e10,9.57e11,9.12e04,9.21e11,3.62e10
17,1.00e12,9.94e04,9.53e11,8.68e04,8.77e11,7.69e10,9.56e11,8.86e04,8.94e11,6.19e10
18,1.00e12,9.94e04,9.60e11,8.76e04,8.84e11,7.61e10,9.63e11,8.91e04,8.99e11,6.35e10
